vch_desc,vch_type,canonical_id,canonical_family,label_source,label_confidence,validation_status
2 sada roti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 tray eggs. ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"2 x cig, rotis, spray and misc",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2 × packets of Novela chocalate + 2 × Marbel cake from Blue Ribbon.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2200 hundred remaining for lunch,Income,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"260 juice with adan kanwal
1150 medcin
1000 checkup paon
240 mango susral
120 ilichi kanwal ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
2xMilk Shakes + Zeera Biscuits + Candies = 100+20,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"2xPrema, Eggs ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
3 Large Pizza from Day Night Pizza,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
3 Lassi and 1 Fruit Bun,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
3 dry fruits,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"300 per day for 10 days
2 Tuesday lunch for 70 rupee",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"3xPrema, Eggs, butter",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
4 X juices from airport on Mubashar departure to hajj ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
4 roti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
4.1 kg fresh chicken for 165 per kg.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"4500 Naseem, 600 fruit for Nas, 1000 nani, 500 nana Sher Khan, 200 Son of Bashiran",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
4x Slice juice,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
5 kg Mangoes for Amna's home ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
5 kgs mangoes ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
5 slice bread and 6 eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
50% of 8225 of Milk Expenses,Income,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
500 Mama ko dia and baqi nashta dudh and oil and dish wash bar 500,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
500grm mix khara and 500grm osmina biscuits for ammi from ms bakery via zomato ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
5kg mangoes,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"6 bottles
sabzi etc",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
6 eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
6 eggs + 4 Jet Sport ice cream ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"6 eggs, tiger biscuits",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
6 packs of milk and cerelac,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
6 teas in Evening ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
7 eleven bread,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
7-eleven milk ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
70 Naan 50 Chaka 25 milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
700 pizza khaya and one bottle,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
8 eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
930 dont remember kfc 180 50 coke 220 dabbi Johnny jugnu 600 200 dabbi biryani icecream 150 50 ice cream mf ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Aaloo Bukhara Juice,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Abbu roti dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Abu ko deya (mago rice dahi etc),Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Additional milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Adnan Biryani Advance ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Affu's Milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Afnan lunch with friend at chop chop walk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Agha Juice,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Akhil's Cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Akram Biryani with Ali,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Alam for food,Expense,2001.0,Food & Groceries,approved_mapping,very_high,approved_mapping
Ali Bhai Dahi Ballay,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ali biryani,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ali food,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Allah Ditta food,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Allah wala biryani,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Alo Nan abdullah tayyab haider and kanwal dahi bhala,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Aloo Paratha and Chai ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Alovera juice for aama,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ambreen - For meetup at Hi tea.,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ambreen - Nashta With HGS Mommies.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ameera Lunch Arrangements,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ami took dry fruits,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Amin birthday lunch (took out 1 rs in bill to balance hysab kytab account with SCB balance),Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Amir Chai ( Daud ),Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ammi honey pizza ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ana Chicken,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ana dahi coke etc,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Anabiya milk ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ando paratho chai cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Anhaar milk...,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ani Home - Milk,Income,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Anjir dry fruit,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Anniversary Cake Asheer and Taha,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Annyyy, kukki's dinner...",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Appi dinner Fish,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Arcadian Dinner at Wanias Birthday,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Asia Cafe with wife and kids ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Ayat shoes, dinner set, jewellery boxes ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Ayesha api Cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Baby cake Pending payment,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bail Al Shawarma. Foodpanda,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bail ul Shawarma. Foodpanda,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bait ul Khas. Foodpanda,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bakery Items,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bakery lahore ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Balloon 30
Juice 30",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Banana + Mango + Cherry,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Banana Mango,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bhatbhateni Bakery Stuff,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Birthday Dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani Double ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani Food Center Hussainabad ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani and Rayta,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani from Retaj,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani macdonald ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani raita and cold drink at work,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani tea and biscuits,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani to talha kothari from ofc,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biryani with Zafar net wala ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bis Veggie Lunch,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Biscuit, bread etc
",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biscuits Office (instead of lunch),Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Biscuits for breakfast. ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Biscuits, Coke and Roti",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bombay baker cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Boneless Chicken,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Boneless Chicken 0.5 Kg,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Books
driver
cat food",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Borrow money for Foodies,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bran Bread (35) + (80) Eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bravo Biscuits (112),Cake Up (115), Marie Biscuits (112),Dahi Bhallay(50),Milk(70)",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Brazilian Food,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread + Biscuit,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread + Eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread , Milk , Grapes",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread Biscuits ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread Milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread and eggs,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread and juni cream,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread and macains,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread and milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread from Sainsbury,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread n Beyond Salad,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread n milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread n moong daal,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread oil oats,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread rusk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread, egg, pastries ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread, eggs, coil matt, etc",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread, eggs, milk",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread, rotiyan, dahi, ufone card, eggs",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread, rusk, baqarkhani, sheermal, match, mango juice and lemon max bar. ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Bread,Egg
",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bread; youghurt,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breads from Ageno,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breads n cookies,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breads.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breads...,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breads....,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast  and Energize drink from beanos ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast - Googa Nakibya Model Town. Maryum's last practical ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast - Usama,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast and dinner Khushi and dildar,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast at Naran,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast at office ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast from Arabiata,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast halwa puri,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast in Officr,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast maska bun,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast me n Kemona,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast monal,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast naann channa,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast on Hala ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Breakfast, icecream, fries",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast_Star,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Breakfast_khichuri,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Broadway Pizza 20 inch slice,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Broadway Pizza. Foodpanda,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Brost for dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Brown breads,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Brown breads ...,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Brown breads n cookies,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Bull Steak House,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Burger + Juice,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Burger Tea,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Burger town bahria town dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Buy BF1 milk,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Buy Grocery,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
CA Day Cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cable bill and misc grocery ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cafe Dori,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cafe Sangat,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cafe delight ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cafeteria,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Cafeteria semosa and drink 500ml coke
",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake & doughnuts,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake Aftab ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake Mamoon,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Cake Rusk etc,",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake and ballon etc.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake for Ammi,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake in BWR,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake mom,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake with all the office peeps,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cake+ Chocolate,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Cake, Handsfree, Hairband & Ice Cream",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cakeups,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cane Juice for Kids,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Carrefour Grocery ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Carrefour nuggets, the nashta ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cash widthdrawl for lunch,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cash widthdrawl from atm for dinner,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cat food,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cc Continental Grocery,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai 24/6/21,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai Baithak expense ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai Khana,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai and rusk safi nay paisay dia mere walay,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai cake,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai cigarette ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai fibbi,Transfer,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai for Shop,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai wid Hafsa and Yasir,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chai with mami and bachy,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chain Fix,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chairity,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chanay. Haleem. Milk. Kashif,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chanay. Khamiri Roti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chapati for Dinner ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chatta's Nashta,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chaye Khana Breakfast,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cheese cake ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cheesecake shop,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chhop Brown bread n DDC butter,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chick & chai kid ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken 1.5 kg,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken 2,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken 600 trout fish 1200,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken Bihari Boti,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken Dabu to Sir Azam,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken Meat For Cooking,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken and Dal vegi etc Water ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken bread n samoosa gourmet ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken burger - Push,Income,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken for cat,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken meat ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken munchurian,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken n khutti ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken plus grocery hair color,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken sandwich ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken shop ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken x3,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chicken.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chiken + Dahi,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chineese and Juice at IoBM,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Chowmein n tea at chaumati ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Club lunch ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Coffee, tea, biscuits etc",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Coke, pan and mango",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Col Faraz Mangoes,Income,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
College Food,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Contribution at dinner with family,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cooking oil + Sabzi,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cooking oil dalia salt mango juice.....,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cost of one pizza,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Cup cake preparation items,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
DG visit food cost.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Daal,roti",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Dabboo, chai & Cold Drink ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Dahi + motor belt,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Dahi after Breakfast,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Dahi chana 100abu ko deya ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Dahi.,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Dahi... Nashta,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Dahie, chana, zaianb ",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Dates, Kinu, Water, Dry Fruit n Bublegum",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Day snacks with Kemona @Food street Medanta ,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Departmental Dinner,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
"Dettol, Bread and Toothpaste",Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
Deworming 50 n milk biscuit 88,Expense,2001.0,Food & Groceries,deterministic_rule,high,deterministic_rule
